WeekNo,Week,Average
1,1/1/2000,139.25
2,1/8/2000,136.63
3,1/15/2000,137.63
4,1/22/2000,139.6
5,1/29/2000,140
6,2/5/2000,141.38
7,2/12/2000,138.4
8,2/19/2000,139.3
9,2/26/2000,138.75
10,3/4/2000,139.67
11,3/11/2000,141
12,3/18/2000,141
13,3/25/2000,142.5
14,4/1/2000,143.3
15,4/8/2000,142.58
16,4/15/2000,142.9
17,4/22/2000,142.38
18,4/29/2000,143
19,5/6/2000,141.58
20,5/13/2000,141
21,5/20/2000,140.75
22,5/27/2000,140.83
23,6/3/2000,140.2
24,6/10/2000,140
25,6/17/2000,139
26,6/24/2000,139.14
27,7/1/2000,140
28,7/8/2000,140
29,7/15/2000,139.63
30,7/22/2000,140.8
31,7/29/2000,139.67
32,8/5/2000,145
33,8/12/2000,140.5
34,8/19/2000,141.67
35,8/26/2000,140.8
36,9/2/2000,139.83
37,9/9/2000,141.6
38,9/16/2000,141
39,9/23/2000,141.5
40,9/30/2000,142.5
41,10/7/2000,143
42,10/14/2000,144
43,10/21/2000,142.5
44,10/28/2000,141.6
45,11/4/2000,141.93
46,11/11/2000,142.67
47,11/18/2000,143.5
48,11/25/2000,143.5
49,12/2/2000,141.93
50,12/9/2000,146.5
51,12/16/2000,144.3
52,12/23/2000,143.6
53,12/30/2000,143.17
54,1/6/2001,145.25
55,1/13/2001,144.5
56,1/20/2001,144.5
57,1/27/2001,145.3
58,2/3/2001,147
59,2/10/2001,146.67
60,2/17/2001,147.33
61,2/24/2001,149
62,3/3/2001,149.43
63,3/10/2001,149.57
64,3/17/2001,148.79
65,3/24/2001,148.5
66,3/31/2001,149.8
67,4/7/2001,148.75
68,4/14/2001,148.07
69,4/21/2001,149
70,4/28/2001,150.5
71,5/5/2001,149.57
72,5/12/2001,149.17
73,5/19/2001,149
74,5/26/2001,149.29
75,6/2/2001,148.08
76,6/9/2001,149
77,6/16/2001,151
78,6/23/2001,150.4
79,6/30/2001,150.17
80,7/7/2001,151
81,7/14/2001,150
82,7/21/2001,152.14
83,7/28/2001,150.75
84,8/4/2001,152
85,8/11/2001,153.5
86,8/18/2001,153.33
87,8/25/2001,151.8
88,9/1/2001,150.25
89,9/8/2001,152
90,9/15/2001,151.17
91,9/22/2001,150.67
92,9/29/2001,149.6
93,10/6/2001,149
94,10/13/2001,150
95,10/20/2001,150.5
96,10/27/2001,149.67
97,11/3/2001,150.1
98,11/10/2001,150.5
99,11/17/2001,150.5
100,11/24/2001,151
101,12/1/2001,151
102,12/8/2001,151
103,12/15/2001,153
104,12/22/2001,152
105,12/29/2001,152
106,1/5/2002,152
107,1/12/2002,152
108,1/19/2002,152
109,1/26/2002,152
110,2/2/2002,152
111,2/9/2002,152
112,2/16/2002,152
113,3/23/2002,152
114,3/2/2002,152
115,3/9/2002,152
116,3/16/2002,152
117,3/23/2002,152
118,3/30/2002,152
119,4/6/2002,152
120,4/13/2002,152
121,4/20/2002,152
122,4/27/2002,152
123,5/4/2002,152
124,5/11/2002,152
125,5/18/2002,152
126,5/25/2002,152
127,6/1/2002,152
128,6/8/2002,152
129,6/15/2002,152
130,6/22/2002,152
131,6/29/2002,152
132,7/6/2002,152
133,7/13/2002,152
134,7/20/2002,152
135,7/27/2002,152
136,8/3/2002,152
137,8/10/2002,153
138,8/17/2002,150
139,8/24/2002,149.14
140,8/31/2002,147.6
141,9/7/2002,145.43
142,9/14/2002,146.9
143,9/21/2002,146.33
144,9/28/2002,145.57
145,10/5/2002,144.86
146,10/12/2002,145.6
147,10/19/2002,144.7
148,10/26/2002,145.75
149,11/2/2002,146.3
150,11/9/2002,146.7
151,11/16/2002,145.17
152,11/23/2002,144.93
153,11/30/2002,143.5
154,12/7/2002,143.083
155,12/14/2002,145.43
156,12/21/2002,145
157,12/28/2002,145.5
158,1/4/2003,145.9
159,1/11/2003,146.38
160,1/18/2003,146.14
161,1/25/2003,145
162,2/1/2003,142.29
163,2/8/2003,142.64
164,2/15/2003,143.8
165,2/22/2003,143.92
166,3/1/2003,143.33
167,3/8/2003,143.86
168,3/15/2003,144.71
169,3/22/2003,144
170,3/29/2003,143.86
171,4/5/2003,144.58
172,4/12/2003,142.07
173,4/19/2003,140.21
174,4/26/2003,140.5
175,5/3/2003,140.7
176,5/10/2003,141
177,5/17/2003,141.5
178,5/24/2003,141.3
179,5/31/2003,141.71
180,6/7/2003,143.6
181,6/14/2003,140.71
182,6/21/2003,141.58
183,6/28/2003,143.67
184,7/5/2003,143.17
185,7/12/2003,142.64
186,7/19/2003,143.14
187,7/26/2003,143.83
188,8/2/2003,143.8
189,8/9/2003,142.14
190,8/16/2003,142.8
191,8/23/2003,143.5
192,8/30/2003,143.5
193,9/6/2003,142.8
194,9/13/2003,143.17
195,9/20/2003,144.67
196,9/27/2003,144.8
197,10/4/2003,144.17
198,10/11/2003,145.67
199,10/18/2003,146.6
200,10/25/2003,145.86
201,11/1/2003,143.43
202,11/8/2003,145.08
203,11/15/2003,145.3
204,11/22/2003,145.5
205,11/29/2003,147.25
206,12/6/2003,147.5
207,12/13/2003,147
208,12/20/2003,147.8
209,12/27/2003,148.4
210,1/3/2004,149
211,1/10/2004,149.9
212,1/24/2004,148.1
213,1/31/2004,149.33
214,2/7/2004,150.33
215,2/14/2004,149.33
216,2/21/2004,149.75
217,2/28/2004,150.17
218,3/6/2004,147.2
219,3/13/2004,149.33
220,3/20/2004,148.5
221,3/27/2004,149.67
222,4/3/2004,149
223,4/10/2004,148.88
224,4/17/2004,148.75
225,4/24/2004,150.04
226,5/1/2004,151.33
227,5/8/2004,149.75
228,5/15/2004,147.79
229,5/22/2004,148.17
230,5/29/2004,148.7
231,6/5/2004,149.83
232,6/12/2004,147.5
233,6/19/2004,148.14
234,6/26/2004,149
235,7/3/2004,148.17
236,7/10/2004,146.83
237,7/17/2004,147.67
238,7/24/2004,147.33
239,7/31/2004,146.93
240,8/7/2004,144.67
241,8/14/2004,144.42
242,8/21/2004,144.64
243,8/28/2004,144.38
244,9/4/2004,143.93
245,9/11/2004,144.14
246,9/18/2004,144.07
247,9/25/2004,144.25
248,10/2/2004,145.75
249,10/9/2004,145
250,10/16/2004,144.36
251,10/23/2004,145.5
252,10/30/2004,144.1
253,11/6/2004,144.9
254,11/13/2004,144.6
255,11/20/2004,145.25
256,11/27/2004,145.17
257,12/4/2004,145
258,12/11/2004,146.5
259,12/17/2004,146.5
260,12/25/2004,148.4
261,1/1/2005,148.33
262,1/8/2005,147.43
263,1/15/2005,147.33
264,1/22/2005,148.67
265,1/29/2005,146.57
266,2/5/2005,145
267,2/12/2005,146.9
268,2/19/2005,147.86
269,2/26/2005,145.43
270,3/5/2005,144.2
271,3/12/2005,144.38
272,3/19/2005,143
273,3/26/2005,142.92
274,4/2/2005,144.21
275,4/9/2005,143.36
276,4/16/2005,142.29
277,4/23/2005,141.5
278,4/30/2005,140.64
279,5/7/2005,140.17
280,5/13/2005,140
281,5/21/2005,140.83
282,5/28/2005,140.5
283,6/4/2005,139.5
284,6/11/2005,138.03
285,6/18/2005,138.07
286,6/25/2005,140.07
287,7/2/2005,137.71
288,7/9/2005,138.1
